constraint_a,constraint_b,tightness,trial,entropy,range,density,syncopation,surprise
tempo,dissonance,0.8,1,4.0474,24,1.9344,0.5085,0.923
tempo,dissonance,0.8,2,3.8398,24,2.4516,0.5395,0.6106
tempo,dissonance,0.8,3,4.1985,24,2.4262,0.5135,0.7802
tempo,dissonance,0.8,4,3.8815,23,1.8361,0.4107,0.6255
dissonance,dissonance,0.2,0,4.545,24,2.0775,0.9508,0.9787
dissonance,dissonance,0.2,1,4.1812,23,2.2014,0.8986,0.7624
dissonance,dissonance,0.2,2,4.1703,24,1.8798,0.9333,0.8495
dissonance,dissonance,0.2,3,4.4458,24,2.5505,0.8889,0.7319
dissonance,dissonance,0.2,4,4.3362,24,2.4228,0.88,0.7558
dissonance,dissonance,0.5,0,3.7727,24,1.9663,0.8361,0.9042
dissonance,dissonance,0.5,1,3.8994,24,1.9459,0.8689,0.8611
dissonance,dissonance,0.5,2,4.2647,24,1.8032,0.9474,0.9429
dissonance,dissonance,0.5,3,4.2775,24,1.9961,0.8871,0.7226
dissonance,dissonance,0.5,4,3.9469,22,2.0588,0.9206,0.7934
dissonance,dissonance,0.8,0,4.1169,24,2.3139,0.9143,0.6319
dissonance,dissonance,0.8,1,4.2853,25,2.204,0.8529,0.7751
dissonance,dissonance,0.8,2,4.2486,24,1.9648,0.9355,0.7521
dissonance,dissonance,0.8,3,4.1595,24,1.7891,0.8772,0.826
dissonance,dissonance,0.8,4,3.981,22,1.9556,0.8852,0.7192
