genre_a,genre_b,t,composition,n_events,entropy,unique_pitches,scale_conf_a,scale_conf_b,center_dist_a,center_dist_b
jazz,hiphop,0.7368,2,34,4.1607,20,0.6471,0.4412,0.7304,0.1029
jazz,hiphop,0.7368,3,13,3.0851,10,0.5385,0.4615,0.2692,1.1026
jazz,hiphop,0.7368,4,20,3.5842,13,0.6,0.45,0.4458,0.3875
jazz,hiphop,0.7895,0,19,4.0374,17,0.5263,0.3158,0.6579,1.4912
jazz,hiphop,0.7895,1,15,3.1899,10,0.7333,0.3333,0.9222,1.7556
jazz,hiphop,0.7895,2,15,2.6892,7,0.4667,0.2667,0.0222,0.8556
jazz,hiphop,0.7895,3,13,2.9312,9,0.6154,0.2308,0.2115,0.6218
jazz,hiphop,0.7895,4,22,3.4251,12,0.4091,0.2273,1.0265,0.1932
jazz,hiphop,0.8421,0,16,3.0778,10,0.5625,0.375,0.0573,0.8906
jazz,hiphop,0.8421,1,22,3.5681,14,0.5909,0.2727,0.1591,0.6742
jazz,hiphop,0.8421,2,10,2.9219,8,0.5,0.3,1.0667,0.2333
jazz,hiphop,0.8421,3,19,3.8269,15,0.5263,0.3158,0.9167,1.75
jazz,hiphop,0.8421,4,18,3.2391,11,0.3333,0.2778,0.9306,0.0972
jazz,hiphop,0.8947,0,23,3.9149,16,0.5652,0.3478,0.0072,0.8406
jazz,hiphop,0.8947,1,15,3.0566,10,0.6,0.3333,0.35,1.1833
jazz,hiphop,0.8947,2,18,3.9477,16,0.5,0.2778,0.1852,1.0185
jazz,hiphop,0.8947,3,22,3.8231,16,0.5,0.3636,0.7159,1.5492
jazz,hiphop,0.8947,4,16,3.2028,10,0.75,0.5625,0.6094,0.224
jazz,hiphop,0.9474,0,12,3.4183,11,0.6667,0.5,0.7917,1.625
jazz,hiphop,0.9474,1,20,3.5842,14,0.65,0.5,0.4208,0.4125
jazz,hiphop,0.9474,2,8,2.5,6,0.875,0.625,0.0208,0.8125
jazz,hiphop,0.9474,3,15,2.4635,8,0.6667,0.6667,1.3444,0.5111
jazz,hiphop,0.9474,4,22,3.7544,15,0.6818,0.5909,0.3371,1.1705
jazz,hiphop,1.0,0,19,3.0708,10,0.4737,0.3158,0.2193,1.0526
jazz,hiphop,1.0,1,18,3.128,10,0.4444,0.3333,0.0509,0.7824
jazz,hiphop,1.0,2,13,2.9312,8,0.6154,0.5385,0.6346,0.1987
jazz,hiphop,1.0,3,24,4.085,18,0.5,0.4167,0.7951,1.6285
jazz,hiphop,1.0,4,16,3.2028,10,0.5625,0.5,1.2448,0.4115
electronic,hiphop,0.0,0,50,4.5533,26,0.44,0.38,0.5,1.25
electronic,hiphop,0.0,1,62,3.1436,13,0.5645,0.371,0.6734,0.0766
electronic,hiphop,0.0,2,58,4.5717,28,0.3621,0.4138,0.1681,0.9181
electronic,hiphop,0.0,3,51,4.3028,23,0.3922,0.2745,0.8268,1.5768
electronic,hiphop,0.0,4,49,4.1071,20,0.5306,0.3265,2.301,3.051
electronic,hiphop,0.0526,0,45,4.0112,19,0.3111,0.5111,2.2407,2.9907
electronic,hiphop,0.0526,1,45,4.447,25,0.4,0.5556,0.3444,1.0944
electronic,hiphop,0.0526,2,49,4.1017,22,0.2449,0.449,1.2619,2.0119
electronic,hiphop,0.0526,3,47,3.524,14,0.3191,0.3404,0.617,0.133
electronic,hiphop,0.0526,4,57,4.7975,32,0.3684,0.4035,0.617,1.367
electronic,hiphop,0.1053,0,41,1.9336,10,0.1707,0.2195,0.9187,0.1687
electronic,hiphop,0.1053,1,42,4.112,21,0.4286,0.5238,1.3948,2.1448
electronic,hiphop,0.1053,2,47,3.8744,17,0.4255,0.3617,0.2784,0.4716
electronic,hiphop,0.1053,3,45,3.9916,20,0.4,0.4444,0.2981,0.4519
electronic,hiphop,0.1053,4,39,4.1504,20,0.4615,0.359,1.4316,2.1816
electronic,hiphop,0.1579,0,61,4.2169,22,0.4426,0.4098,0.8934,1.6434
electronic,hiphop,0.1579,1,36,4.107,19,0.6111,0.3889,1.5972,2.3472
electronic,hiphop,0.1579,2,43,3.8387,17,0.3953,0.5814,0.3973,0.3527
electronic,hiphop,0.1579,3,32,3.6997,15,0.4688,0.375,1.2214,1.9714
electronic,hiphop,0.1579,4,39,3.7875,21,0.6667,0.641,1.953,2.703
electronic,hiphop,0.2105,0,42,4.0979,21,0.4762,0.3571,0.006,0.744
electronic,hiphop,0.2105,1,39,3.8972,17,0.359,0.3846,0.5726,1.3226
electronic,hiphop,0.2105,2,45,3.0653,17,0.6222,0.7111,2.2926,3.0426
electronic,hiphop,0.2105,3,36,4.1552,20,0.4444,0.4722,0.662,1.412
electronic,hiphop,0.2105,4,39,3.4131,13,0.3846,0.4359,0.3996,1.1496
electronic,hiphop,0.2632,0,35,3.7859,17,0.4,0.4571,2.0881,2.8381
electronic,hiphop,0.2632,1,33,3.8391,16,0.303,0.4545,0.4268,1.1768
electronic,hiphop,0.2632,2,46,3.8481,19,0.3478,0.3696,0.5489,0.2011
electronic,hiphop,0.2632,3,37,3.7969,17,0.2703,0.2973,0.518,0.232
electronic,hiphop,0.2632,4,42,4.1369,20,0.381,0.5238,1.5913,2.3413
electronic,hiphop,0.3158,0,45,4.125,20,0.4667,0.3556,0.3241,0.4259
electronic,hiphop,0.3158,1,37,3.545,14,0.5135,0.3784,0.0,0.75
electronic,hiphop,0.3158,2,45,4.4579,25,0.4444,0.4444,0.2981,1.0481
electronic,hiphop,0.3158,3,33,3.6543,15,0.3636,0.2727,0.4419,0.3081
electronic,hiphop,0.3158,4,37,3.8207,16,0.4054,0.5135,1.2523,2.0023
electronic,hiphop,0.3684,0,35,4.2074,21,0.3714,0.4571,0.1238,0.6262
electronic,hiphop,0.3684,1,39,3.5121,15,0.359,0.5897,0.9338,0.1838
electronic,hiphop,0.3684,2,33,3.9802,18,0.3939,0.5152,0.5126,0.2374
electronic,hiphop,0.3684,3,36,3.8638,16,0.5,0.4167,0.2708,0.4792
electronic,hiphop,0.3684,4,33,4.0815,19,0.4545,0.4545,1.5202,2.2702
electronic,hiphop,0.4211,0,27,3.3242,13,0.5556,0.2963,0.213,0.537
electronic,hiphop,0.4211,1,28,3.0297,10,0.4286,0.5,0.2887,1.0387
electronic,hiphop,0.4211,2,34,4.3006,22,0.4118,0.3824,1.2917,2.0417
electronic,hiphop,0.4211,3,29,3.6301,15,0.5517,0.2759,0.9425,1.6925
electronic,hiphop,0.4211,4,36,4.1972,21,0.4444,0.3611,0.1134,0.6366
electronic,hiphop,0.4737,0,27,3.9764,18,0.3704,0.3333,0.4506,1.2006
electronic,hiphop,0.4737,1,36,4.128,20,0.4167,0.4444,0.5486,0.2014
electronic,hiphop,0.4737,2,23,3.5014,13,0.6522,0.3043,0.2971,0.4529
electronic,hiphop,0.4737,3,30,3.6729,14,0.5667,0.5333,0.7972,0.0472
electronic,hiphop,0.4737,4,36,4.2181,20,0.3889,0.5278,0.8495,1.5995
electronic,hiphop,0.5263,0,25,3.1249,11,0.56,0.56,0.9867,0.2367
electronic,hiphop,0.5263,1,24,3.6887,14,0.4167,0.3333,0.5278,0.2222
electronic,hiphop,0.5263,2,26,3.9791,18,0.3077,0.4231,1.3013,2.0513
electronic,hiphop,0.5263,3,31,3.2637,14,0.6774,0.2581,0.8817,0.1317
electronic,hiphop,0.5263,4,30,3.3941,12,0.5667,0.4,0.3361,0.4139
electronic,hiphop,0.5789,0,26,3.3018,11,0.1923,0.3846,0.016,0.734
electronic,hiphop,0.5789,1,26,3.6714,14,0.3462,0.4231,0.7372,0.0128
electronic,hiphop,0.5789,2,29,3.578,14,0.4138,0.4828,0.7385,1.4885
electronic,hiphop,0.5789,3,32,4.2264,20,0.375,0.5625,1.099,1.849
electronic,hiphop,0.5789,4,28,3.2943,12,0.5357,0.6071,0.1577,0.5923
electronic,hiphop,0.6316,0,25,2.9632,10,0.72,0.4,0.1367,0.6133
electronic,hiphop,0.6316,1,22,4.0049,17,0.4545,0.4091,0.4848,1.2348
electronic,hiphop,0.6316,2,22,3.1682,12,0.0909,0.6818,0.8864,0.1364
electronic,hiphop,0.6316,3,24,3.7721,15,0.4583,0.5417,1.2743,2.0243
electronic,hiphop,0.6316,4,28,3.4992,13,0.5357,0.5,1.0119,0.2619
electronic,hiphop,0.6842,0,30,3.6477,13,0.5,0.4333,0.8194,0.0694
electronic,hiphop,0.6842,1,21,3.5352,13,0.5714,0.4762,0.2659,0.4841
electronic,hiphop,0.6842,2,28,3.3833,12,0.6429,0.3929,0.6756,1.4256
electronic,hiphop,0.6842,3,30,2.9974,13,0.6667,0.3667,1.8972,2.6472
electronic,hiphop,0.6842,4,26,3.4745,13,0.5,0.3077,0.9199,0.1699
electronic,hiphop,0.7368,0,30,3.7308,19,0.5333,0.3,0.8583,0.1083
electronic,hiphop,0.7368,1,27,3.7179,15,0.4074,0.3333,0.8426,0.0926
